typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","19890101","1989","52","1989","76","BRA","Brazil","M","Import","0","W00","World","0","W00","World","H0","HS","true","3303","Perfumes and toilet waters","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","162944","false","-1","N/A",,"true","162944","false",,"false","5340260",,"5340260","0","false","false",
"C","A","19890101","1989","52","1989","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H0","HS","true","3303","Perfumes and toilet waters","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","165702","false","-1","N/A",,"true","165702","false",,"false",,"2958994","2958994","0","false","false",
"C","A","19890101","1989","52","1989","76","BRA","Brazil","M","Import","0","W00","World","0","W00","World","H0","HS","true","3304","Cosmetic and toilet preparations; beauty, make-up and skin care preparations (excluding medicaments, including sunscreen or sun tan preparations), manicure or pedicure preparations","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","145614","false","-1","N/A",,"true","145614","false",,"false","2100685",,"2100685","0","false","false",
"C","A","19890101","1989","52","1989","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H0","HS","true","3304","Cosmetic and toilet preparations; beauty, make-up and skin care preparations (excluding medicaments, including sunscreen or sun tan preparations), manicure or pedicure preparations","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","434731","false","-1","N/A",,"true","434731","false",,"false",,"1958046","1958046","0","false","false",
"C","A","19890101","1989","52","1989","76","BRA","Brazil","M","Import","0","W00","World","0","W00","World","H0","HS","true","3305","Hair preparations; for use on the hair","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","121171","false","-1","N/A",,"true","121171","false",,"false","598437",,"598437","0","false","false",
"C","A","19890101","1989","52","1989","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H0","HS","true","3305","Hair preparations; for use on the hair","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","907098","false","-1","N/A",,"true","907098","false",,"false",,"1987869","1987869","0","false","false",
"C","A","19890101","1989","52","1989","76","BRA","Brazil","M","Import","0","W00","World","0","W00","World","H0","HS","true","3306","Oral or dental hygiene preparations; including fixative pastes and powders","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","38912","false","-1","N/A",,"true","38912","false",,"false","336175",,"336175","0","false","false",
"C","A","19890101","1989","52","1989","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H0","HS","true","3306","Oral or dental hygiene preparations; including fixative pastes and powders","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2092328","false","-1","N/A",,"true","2092328","false",,"false",,"4405445","4405445","0","false","false",
"C","A","19890101","1989","52","1989","76","BRA","Brazil","M","Import","0","W00","World","0","W00","World","H0","HS","true","3307","Perfumery, cosmetic or toilet preparations; pre-shave, shaving, after-shave, bath preparations; personal deodorants and depilatories; room deodorisers, perfumed or not with disinfectant properties or not","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","154421","false","-1","N/A",,"true","154421","false",,"false","1095541",,"1095541","0","false","false",
"C","A","19890101","1989","52","1989","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H0","HS","true","3307","Perfumery, cosmetic or toilet preparations; pre-shave, shaving, after-shave, bath preparations; personal deodorants and depilatories; room deodorisers, perfumed or not with disinfectant properties or not","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","584440","false","-1","N/A",,"true","584440","false",,"false",,"2755600","2755600","0","false","false",
"C","A","19890101","1989","52","1989","392","JPN","Japan","M","Import","0","W00","World","0","W00","World","H0","HS","true","3303","Perfumes and toilet waters","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1227136","false","-1","N/A",,"false","1227136","false",,"false","64519701",,"64519701","0","true","false",
"C","A","19890101","1989","52","1989","392","JPN","Japan","X","Export","0","W00","World","0","W00","World","H0","HS","true","3303","Perfumes and toilet waters","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","134235","false","-1","N/A",,"false","134235","false",,"false",,"1717795","1717795","0","true","false",
"C","A","19890101","1989","52","1989","410","KOR","Rep. of Korea","M","Import","0","W00","World","0","W00","World","H0","HS","true","3303","Perfumes and toilet waters","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","23996","false","-1","N/A",,"false","23996","false",,"false","571228",,"571228","0","true","false",
"C","A","19890101","1989","52","1989","410","KOR","Rep. of Korea","X","Export","0","W00","World","0","W00","World","H0","HS","true","3303","Perfumes and toilet waters","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","16843","false","-1","N/A",,"false","16843","false",,"false",,"78075","78075","0","true","false",
"C","A","19890101","1989","52","1989","392","JPN","Japan","M","Import","0","W00","World","0","W00","World","H0","HS","true","3304","Cosmetic and toilet preparations; beauty, make-up and skin care preparations (excluding medicaments, including sunscreen or sun tan preparations), manicure or pedicure preparations","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4953280","false","-1","N/A",,"false","4953280","false",,"false","135002667",,"135002667","0","true","false",
"C","A","19890101","1989","52","1989","392","JPN","Japan","X","Export","0","W00","World","0","W00","World","H0","HS","true","3304","Cosmetic and toilet preparations; beauty, make-up and skin care preparations (excluding medicaments, including sunscreen or sun tan preparations), manicure or pedicure preparations","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3736360","false","-1","N/A",,"false","3736360","false",,"false",,"108005580","108005580","0","true","false",
"C","A","19890101","1989","52","1989","410","KOR","Rep. of Korea","M","Import","0","W00","World","0","W00","World","H0","HS","true","3304","Cosmetic and toilet preparations; beauty, make-up and skin care preparations (excluding medicaments, including sunscreen or sun tan preparations), manicure or pedicure preparations","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1038790","false","-1","N/A",,"false","1038790","false",,"false","12728188",,"12728188","0","true","false",
"C","A","19890101","1989","52","1989","410","KOR","Rep. of Korea","X","Export","0","W00","World","0","W00","World","H0","HS","true","3304","Cosmetic and toilet preparations; beauty, make-up and skin care preparations (excluding medicaments, including sunscreen or sun tan preparations), manicure or pedicure preparations","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","740010","false","-1","N/A",,"false","740010","false",,"false",,"7364008","7364008","0","true","false",
"C","A","19890101","1989","52","1989","392","JPN","Japan","M","Import","0","W00","World","0","W00","World","H0","HS","true","3305","Hair preparations; for use on the hair","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","8655739","false","-1","N/A",,"false","8655739","false",,"false","49221799",,"49221799","0","true","false",
"C","A","19890101","1989","52","1989","392","JPN","Japan","X","Export","0","W00","World","0","W00","World","H0","HS","true","3305","Hair preparations; for use on the hair","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1689987","false","-1","N/A",,"false","1689987","false",,"false",,"15484096","15484096","0","true","false",
"C","A","19890101","1989","52","1989","410","KOR","Rep. of Korea","M","Import","0","W00","World","0","W00","World","H0","HS","true","3305","Hair preparations; for use on the hair","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2690626","false","-1","N/A",,"false","2690626","false",,"false","4446307",,"4446307","0","true","false",
"C","A","19890101","1989","52","1989","410","KOR","Rep. of Korea","X","Export","0","W00","World","0","W00","World","H0","HS","true","3305","Hair preparations; for use on the hair","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","616352","false","-1","N/A",,"false","616352","false",,"false",,"2485348","2485348","0","true","false",
"C","A","19890101","1989","52","1989","392","JPN","Japan","M","Import","0","W00","World","0","W00","World","H0","HS","true","3306","Oral or dental hygiene preparations; including fixative pastes and powders","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2676769","false","-1","N/A",,"false","2676769","false",,"false","13171694",,"13171694","0","true","false",
"C","A","19890101","1989","52","1989","392","JPN","Japan","X","Export","0","W00","World","0","W00","World","H0","HS","true","3306","Oral or dental hygiene preparations; including fixative pastes and powders","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","655472","false","-1","N/A",,"false","655472","false",,"false",,"3050756","3050756","0","true","false",
"C","A","19890101","1989","52","1989","410","KOR","Rep. of Korea","M","Import","0","W00","World","0","W00","World","H0","HS","true","3306","Oral or dental hygiene preparations; including fixative pastes and powders","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","20436","false","-1","N/A",,"false","20436","false",,"false","350064",,"350064","0","true","false",
"C","A","19890101","1989","52","1989","410","KOR","Rep. of Korea","X","Export","0","W00","World","0","W00","World","H0","HS","true","3306","Oral or dental hygiene preparations; including fixative pastes and powders","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2039200","false","-1","N/A",,"false","2039200","false",,"false",,"5625530","5625530","0","true","false",
"C","A","19890101","1989","52","1989","392","JPN","Japan","M","Import","0","W00","World","0","W00","World","H0","HS","true","3307","Perfumery, cosmetic or toilet preparations; pre-shave, shaving, after-shave, bath preparations; personal deodorants and depilatories; room deodorisers, perfumed or not with disinfectant properties or not","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4294198","false","-1","N/A",,"false","4294198","false",,"false","26394654",,"26394654","0","true","false",
"C","A","19890101","1989","52","1989","392","JPN","Japan","X","Export","0","W00","World","0","W00","World","H0","HS","true","3307","Perfumery, cosmetic or toilet preparations; pre-shave, shaving, after-shave, bath preparations; personal deodorants and depilatories; room deodorisers, perfumed or not with disinfectant properties or not","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3402573","false","-1","N/A",,"false","3402573","false",,"false",,"24099953","24099953","0","true","false",
"C","A","19890101","1989","52","1989","410","KOR","Rep. of Korea","M","Import","0","W00","World","0","W00","World","H0","HS","true","3307","Perfumery, cosmetic or toilet preparations; pre-shave, shaving, after-shave, bath preparations; personal deodorants and depilatories; room deodorisers, perfumed or not with disinfectant properties or not","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","924810","false","-1","N/A",,"false","924810","false",,"false","9935752",,"9935752","0","true","false",
