country,n_obs,r_BeautyPC_gdp,p_BeautyPC_gdp,rho_BeautyPC_gdp,p_rho_BeautyPC_gdp,r_BeautyPC_cons,p_BeautyPC_cons,rho_BeautyPC_cons,p_rho_BeautyPC_cons
pooled,322,0.6468693277069634,0.05,0.86457574967368,0.05,0.5359233356554468,0.05,0.7955168294568198,0.05
brazil,30,0.9112517345222753,0.05,0.9061179087875416,0.05,0.8664743761304043,0.05,0.8527252502780869,0.05
china,30,0.9245909866071848,0.05,0.9875417130144604,0.05,0.9357773729281812,0.05,0.9866518353726361,0.05
france,31,0.8949320729334674,0.05,0.8899193548387098,0.05,0.8975065625596027,0.05,0.8733870967741937,0.05
germany,34,0.9095909390256752,0.05,0.8444614209320092,0.05,0.8896380749684395,0.05,0.8493506493506493,0.05
japan,35,0.8644823485822898,0.05,0.9291316526610645,0.05,0.7865322312820962,0.05,0.919887955182073,0.05
mexico,35,0.8622397617714818,0.05,0.8338935574229693,0.05,0.8766558895163908,0.05,0.8338935574229693,0.05
russia,26,0.9589771805653607,0.05,0.8817094017094015,0.05,0.9751273233876477,0.05,0.9275213675213674,0.05
south korea,35,0.8865772755283062,0.05,0.992717086834734,0.05,0.8472011671848872,0.05,0.9899159663865545,0.05
united kingdom,32,0.8085954271003343,0.05,0.9057917888563048,0.05,0.7680988884486037,0.05,0.8566715542521994,0.05
usa,34,0.9395164571017133,0.05,0.978609625668449,0.05,0.9216103009873111,0.05,0.9825821237585942,0.05
