,breakpoint,slope1,slope2,is_plateau,is_significant
brazil,15550.4393735843,0.00022406786722991098,0.00037620147327431405,True,False
china,18030.38636999332,0.0002513680899354513,-0.00023200126178977187,True,False
france,47801.3888979817,0.0016550311127529035,0.004912652926821622,False,False
germany,52037.5239185785,0.0032988238185331542,0.0005398909457870385,True,False
japan,39272.4189828727,0.0012873090887068456,0.0027704594579767293,False,False
mexico,19028.1215002801,0.0010311310600066266,0.0025665914229820587,False,False
russia,31052.755859375,0.00038958896061517124,0.00032706774126100424,True,False
south korea,41839.9889843663,0.000923330770195828,0.004001752432429698,False,False
united kingdom,50628.8178663815,0.0033047838118500416,0.010834000689024164,False,False
usa,63742.0261200519,0.0010020224125858895,0.0006736235715519715,True,False
